"","team1","team2","last10games_w_per.t1","last30games_w_per.t1","last50games_w_per.t1","last10games_l_per.t1","last30games_l_per.t1","last50games_l_per.t1","last10games_d_per.t1","last30games_d_per.t1","last50games_d_per.t1","last10games_gd_per.t1","last30games_gd_per.t1","last50games_gd_per.t1","last10games_opp_cc_per.t1","last30games_opp_cc_per.t1","last50games_opp_cc_per.t1","last10games_w_per.t2","last30games_w_per.t2","last50games_w_per.t2","last10games_l_per.t2","last30games_l_per.t2","last50games_l_per.t2","last10games_d_per.t2","last30games_d_per.t2","last50games_d_per.t2","last10games_gd_per.t2","last30games_gd_per.t2","last50games_gd_per.t2","last10games_opp_cc_per.t2","last30games_opp_cc_per.t2","last50games_opp_cc_per.t2","date","team1Home","team2Home","neutralVenue","friendly","qualifier","finaltourn"
"1","KSA","RUS",0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"2","EGY","RUS",0.5,0.466666666666667,0.54,0.4,0.4,0.34,0.1,0.133333333333333,0.12,0.8,0.266666666666667,0.5,0.85,0.859666666666667,0.8616,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"3","POR","RUS",0.6,0.6,0.6,0,0.1,0.14,0.4,0.3,0.26,0.7,0.633333333333333,0.84,0.99,0.980666666666667,0.979,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"4","ESP","RUS",0.9,0.733333333333333,0.74,0.1,0.166666666666667,0.14,0,0.1,0.12,1.6,1.4,1.48,0.99,0.972333333333333,0.9712,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"5","MAR","RUS",0.7,0.4,0.5,0.2,0.266666666666667,0.22,0.1,0.333333333333333,0.28,0.9,0.466666666666667,0.7,0.85,0.854666666666667,0.8528,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"6","IRN","RUS",0.5,0.6,0.54,0.2,0.133333333333333,0.12,0.3,0.266666666666667,0.34,1.8,1.63333333333333,1.22,0.879,0.859666666666667,0.8558,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"7","FRA","RUS",0.7,0.566666666666667,0.56,0.1,0.166666666666667,0.18,0.2,0.266666666666667,0.26,1.3,0.933333333333333,0.84,0.977,0.981,0.9792,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"8","AUS","RUS",0.6,0.6,0.56,0.4,0.233333333333333,0.24,0,0.166666666666667,0.2,1.5,0.933333333333333,0.84,0.893,0.873666666666667,0.87,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"9","PER","RUS",0.4,0.3,0.32,0.4,0.5,0.52,0.2,0.2,0.16,-0.2,-0.4,-0.48,0.985,0.995,0.994,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"10","DEN","RUS",0.4,0.466666666666667,0.5,0.3,0.266666666666667,0.26,0.3,0.266666666666667,0.24,0.8,0.5,0.62,0.99,0.99,0.9844,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"11","ARG","RUS",0.8,0.6,0.62,0,0.1,0.1,0.2,0.3,0.28,2,1.1,1.14,0.97,0.973333333333333,0.9716,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"12","ISL","RUS",0.5,0.466666666666667,0.32,0.1,0.3,0.44,0.4,0.233333333333333,0.24,0.6,0.3,-0.28,0.99,0.99,0.99,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"13","CRO","RUS",0.5,0.5,0.58,0.1,0.233333333333333,0.2,0.4,0.266666666666667,0.22,0.8,0.7,0.86,0.99,0.981,0.9846,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"14","NGA","RUS",0.3,0.466666666666667,0.46,0.2,0.2,0.2,0.5,0.333333333333333,0.34,0.4,0.7,0.7,0.85,0.874,0.8732,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"15","BRA","RUS",0.4,0.6,0.62,0.1,0.166666666666667,0.14,0.5,0.233333333333333,0.24,1,0.9,1.02,0.985,0.948,0.9502,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"16","CRC","RUS",0.3,0.466666666666667,0.4,0.2,0.166666666666667,0.26,0.5,0.366666666666667,0.34,0,0.533333333333333,0.52,0.865,0.878666666666667,0.8822,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"17","GER","RUS",0.7,0.766666666666667,0.82,0.1,0.0666666666666667,0.08,0.2,0.166666666666667,0.1,1.1,1.66666666666667,1.78,0.99,0.976666666666667,0.9796,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"18","MEX","RUS",0.8,0.566666666666667,0.56,0,0.2,0.18,0.2,0.233333333333333,0.26,1.7,1,0.92,0.88,0.889333333333333,0.8852,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"19","KOR","RUS",0.6,0.533333333333333,0.5,0.3,0.233333333333333,0.18,0.1,0.233333333333333,0.32,1.8,1.13333333333333,0.92,0.878,0.879,0.876,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"20","BEL","RUS",0.8,0.733333333333333,0.58,0.2,0.133333333333333,0.26,0,0.133333333333333,0.16,1.4,1.33333333333333,0.76,0.99,0.976333333333333,0.982,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"21","PAN","RUS",0.3,0.3,0.38,0.3,0.266666666666667,0.24,0.4,0.433333333333333,0.38,-0.3,0.0666666666666667,0.42,0.88,0.86,0.856,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"22","ENG","RUS",0.8,0.633333333333333,0.64,0,0.0666666666666667,0.08,0.2,0.3,0.28,2.1,1.83333333333333,1.76,0.99,0.985666666666667,0.9818,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"23","POL","RUS",0.5,0.333333333333333,0.4,0.1,0.266666666666667,0.26,0.4,0.4,0.34,0.9,0.566666666666667,0.58,0.99,0.99,0.99,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"24","COL","RUS",0.4,0.533333333333333,0.5,0.4,0.266666666666667,0.32,0.2,0.2,0.18,-0.1,0.633333333333333,0.46,0.97,0.979666666666667,0.9848,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"25","JPN","RUS",0.6,0.466666666666667,0.5,0.2,0.3,0.26,0.2,0.233333333333333,0.24,1.8,0.8,1.04,0.879,0.874,0.873,0.4,0.5,0.56,0.3,0.233333333333333,0.24,0.3,0.266666666666667,0.2,0.8,1.16666666666667,1.02,0.99,0.980666666666667,0.9844,2018-06-14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"26","EGY","KSA",0.5,0.466666666666667,0.54,0.4,0.4,0.34,0.1,0.133333333333333,0.12,0.8,0.266666666666667,0.5,0.85,0.859666666666667,0.8616,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"27","ESP","KSA",0.9,0.733333333333333,0.74,0.1,0.166666666666667,0.14,0,0.1,0.12,1.6,1.4,1.48,0.99,0.972333333333333,0.9712,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"28","IRN","KSA",0.5,0.6,0.54,0.2,0.133333333333333,0.12,0.3,0.266666666666667,0.34,1.8,1.63333333333333,1.22,0.879,0.859666666666667,0.8558,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"29","FRA","KSA",0.7,0.566666666666667,0.56,0.1,0.166666666666667,0.18,0.2,0.266666666666667,0.26,1.3,0.933333333333333,0.84,0.977,0.981,0.9792,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"30","AUS","KSA",0.6,0.6,0.56,0.4,0.233333333333333,0.24,0,0.166666666666667,0.2,1.5,0.933333333333333,0.84,0.893,0.873666666666667,0.87,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"31","DEN","KSA",0.4,0.466666666666667,0.5,0.3,0.266666666666667,0.26,0.3,0.266666666666667,0.24,0.8,0.5,0.62,0.99,0.99,0.9844,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"32","ARG","KSA",0.8,0.6,0.62,0,0.1,0.1,0.2,0.3,0.28,2,1.1,1.14,0.97,0.973333333333333,0.9716,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"33","ISL","KSA",0.5,0.466666666666667,0.32,0.1,0.3,0.44,0.4,0.233333333333333,0.24,0.6,0.3,-0.28,0.99,0.99,0.99,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"34","CRO","KSA",0.5,0.5,0.58,0.1,0.233333333333333,0.2,0.4,0.266666666666667,0.22,0.8,0.7,0.86,0.99,0.981,0.9846,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"35","BRA","KSA",0.4,0.6,0.62,0.1,0.166666666666667,0.14,0.5,0.233333333333333,0.24,1,0.9,1.02,0.985,0.948,0.9502,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"36","CRC","KSA",0.3,0.466666666666667,0.4,0.2,0.166666666666667,0.26,0.5,0.366666666666667,0.34,0,0.533333333333333,0.52,0.865,0.878666666666667,0.8822,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"37","GER","KSA",0.7,0.766666666666667,0.82,0.1,0.0666666666666667,0.08,0.2,0.166666666666667,0.1,1.1,1.66666666666667,1.78,0.99,0.976666666666667,0.9796,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"38","KOR","KSA",0.6,0.533333333333333,0.5,0.3,0.233333333333333,0.18,0.1,0.233333333333333,0.32,1.8,1.13333333333333,0.92,0.878,0.879,0.876,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"39","BEL","KSA",0.8,0.733333333333333,0.58,0.2,0.133333333333333,0.26,0,0.133333333333333,0.16,1.4,1.33333333333333,0.76,0.99,0.976333333333333,0.982,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"40","ENG","KSA",0.8,0.633333333333333,0.64,0,0.0666666666666667,0.08,0.2,0.3,0.28,2.1,1.83333333333333,1.76,0.99,0.985666666666667,0.9818,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"41","COL","KSA",0.4,0.533333333333333,0.5,0.4,0.266666666666667,0.32,0.2,0.2,0.18,-0.1,0.633333333333333,0.46,0.97,0.979666666666667,0.9848,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"42","JPN","KSA",0.6,0.466666666666667,0.5,0.2,0.3,0.26,0.2,0.233333333333333,0.24,1.8,0.8,1.04,0.879,0.874,0.873,0.8,0.5,0.54,0,0.2,0.18,0.2,0.3,0.28,2.2,0.866666666666667,0.86,0.88,0.86,0.856,2018-06-14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
