team1,team2,outcome,sd
KSA,RUS,-1.148,2.0557470661538106
EGY,RUS,-1.347,1.9397399310216823
POR,RUS,0.29,1.503296377964106
ESP,RUS,0.294,1.6036096781947908
MAR,RUS,-1.077,1.648960581699878
IRN,RUS,-0.852,1.646236920980695
FRA,RUS,0.002,1.3512941944669192
AUS,RUS,-0.78,1.7560182231400676
PER,RUS,-0.924,1.675178796427414
DEN,RUS,-0.652,1.2405224705743947
ARG,RUS,0.476,1.5097761423469376
ISL,RUS,-0.611,1.6154500920796038
CRO,RUS,-0.438,1.4745019498122072
NGA,RUS,-0.907,1.5799844935947944
BRA,RUS,0.233,1.7165986717925654
CRC,RUS,-0.82,1.6773789077009407
GER,RUS,0.115,1.8296925971320974
MEX,RUS,-1.003,2.454585708424133
KOR,RUS,-0.985,1.9263371978965675
BEL,RUS,-0.275,1.4357489334838456
PAN,RUS,-1.497,1.8557992887163202
ENG,RUS,0.331,1.573352789427724
POL,RUS,-0.441,1.1792026967404712
COL,RUS,-0.588,1.4792754983436995
JPN,RUS,-1.003,1.9618845531783973
EGY,KSA,-0.444,1.8854346978879961
ESP,KSA,0.821,1.5365412457854817
IRN,KSA,0.114,1.721918697267673
FRA,KSA,0.77,1.5972163284915415
AUS,KSA,0.132,1.6954574603923274
DEN,KSA,0.606,1.74320509407241
ARG,KSA,0.958,1.7315415097536646
ISL,KSA,-0.271,2.0003897120311334
CRO,KSA,0.802,1.6164145507882561
BRA,KSA,0.854,1.5970860966147067
CRC,KSA,0.181,1.8050592788049924
GER,KSA,0.661,1.9396079500765098
KOR,KSA,0.254,1.6557427336394988
BEL,KSA,0.594,1.7318094583411885
ENG,KSA,0.826,1.9742654330155307
COL,KSA,0.344,1.892528467421296
JPN,KSA,0.369,1.9674447895684395
AUS,EGY,1.263,1.9899324109124914
DEN,EGY,1.049,2.088683556693067
ARG,EGY,1.624,2.3053468285704866
CRO,EGY,1.245,2.0002437351482945
BRA,EGY,1.684,2.2570210455376793
CRC,EGY,0.379,1.775769973842333
BEL,EGY,1.446,2.1012101275217576
COL,EGY,0.719,1.9894820934102422
RUS,URU,0.299,1.524335592971574
KSA,URU,-0.887,2.241925734720042
EGY,URU,-0.61,1.9125637244285485
POR,URU,0.477,1.6539259354638587
ESP,URU,0.865,1.541679279227687
MAR,URU,-0.77,1.9907536261426226
IRN,URU,-0.21,2.018885831343615
FRA,URU,0.295,1.4085364745011044
AUS,URU,-0.348,1.887033650998307
PER,URU,-0.548,1.4750240676002544
DEN,URU,0.22,1.7382750070112611
ARG,URU,0.508,1.833558289228897
ISL,URU,-0.418,1.7616117619952472
CRO,URU,0.692,1.4721195603618615
NGA,URU,-0.541,1.8762513157890122
BRA,URU,0.686,1.7103812440505772
SUI,URU,0.51,1.4696598245852677
CRC,URU,-0.523,1.751990582166468
SRB,URU,-0.191,1.713043782277616
GER,URU,1.098,1.7304323159257051
SWE,URU,0.4,1.7366634676873927
MEX,URU,-0.704,2.6740201943889654
KOR,URU,-0.231,1.8835177195874746
BEL,URU,0.664,1.889736489566733
PAN,URU,-1.01,1.830819488644361
TUN,URU,-0.876,1.9643380564454784
ENG,URU,1.356,1.8333750298288674
POL,URU,0.052,1.6873932558831686
SEN,URU,-0.696,1.776959200432019
COL,URU,-0.358,1.5374771543018126
JPN,URU,-0.248,1.9407462482251512
KSA,POR,-1.75,2.254218268047706
EGY,POR,-1.656,2.029695543671513
ESP,POR,-0.017,1.83431485846896
MAR,POR,-1.367,1.8515698744578881
IRN,POR,-1.253,1.8113506010709244
FRA,POR,-0.678,0.9509553091496992
AUS,POR,-1.479,2.0048837871557543
PER,POR,-0.978,1.6951448315704472
DEN,POR,-0.552,1.350294782630815
ARG,POR,0.254,1.6424018996579368
ISL,POR,-0.64,1.7878478682483026
CRO,POR,-0.458,1.448528908927951
NGA,POR,-1.501,1.5178929474768632
BRA,POR,-0.005,1.757548007879159
CRC,POR,-1.222,1.6609382890402642
GER,POR,-0.042,2.1076612631065745
MEX,POR,-1.622,2.544624923245074
KOR,POR,-1.476,2.0497375441748633
BEL,POR,-0.313,1.458434434590736
PAN,POR,-1.61,1.8999736840282817
ENG,POR,0.141,1.905024671756248
POL,POR,-0.279,1.1256815713157962
COL,POR,-0.549,1.4681958316246506
JPN,POR,-1.591,2.147025616987371
EGY,ESP,-1.544,1.9188705011021456
AUS,ESP,-0.972,1.6772644394966467
DEN,ESP,-0.807,1.45249819276996
ARG,ESP,0.33,1.5719732822156998
CRO,ESP,-0.492,1.6655137345575988
BRA,ESP,0.112,1.9197541509266234
CRC,ESP,-0.97,1.6507876907706818
BEL,ESP,-0.301,1.666853022914738
ENG,ESP,0.452,2.0267451739180236
COL,ESP,-0.466,1.5115700446886344
KSA,MAR,0.666,1.6499830302157656
EGY,MAR,0.109,1.708542946489786
ESP,MAR,0.876,1.5246717679553197
IRN,MAR,0.743,1.7478418120642383
FRA,MAR,1.081,1.6286310202129886
AUS,MAR,1.166,1.744260301675183
DEN,MAR,0.788,1.8047315589859896
ARG,MAR,1.206,1.8502875452210126
ISL,MAR,-0.088,1.7967348162708932
CRO,MAR,0.968,1.5744764209095037
BRA,MAR,1.225,1.8559027452967463
CRC,MAR,0.449,1.5815811708540286
GER,MAR,0.955,1.8163080685830804
KOR,MAR,1.014,1.6382319738059077
BEL,MAR,1.092,1.750867213697258
ENG,MAR,1.125,1.865308285512076
COL,MAR,0.606,1.907554455317069
JPN,MAR,1.01,1.9813884021059576
EGY,IRN,-0.739,1.97100963975319
ESP,IRN,0.844,1.7279074049265486
FRA,IRN,0.726,1.7178253694715304
AUS,IRN,-0.195,1.6133737942584787
DEN,IRN,0.624,1.8970039536068446
ARG,IRN,1.055,1.8878493054266805
CRO,IRN,0.641,1.7239834685982347
