gameId,date,time,team1,team2,group
GA1,14/06/2018,18:00,A2,A1,A
GA2,15/06/2018,15:00,A4,A3,A
GB1,15/06/2018,18:00,B4,B3,B
GB2,15/06/2018,21:00,B2,B1,B
GC1,16/06/2018,13:00,C2,C1,C
GD1,16/06/2018,16:00,D2,D1,D
GC2,16/06/2018,19:00,C4,C3,C
GD2,16/06/2018,22:00,D4,D3,D
GE1,17/06/2018,15:00,E4,E3,E
GF1,17/06/2018,18:00,F3,F1,F
GE2,17/06/2018,21:00,E2,E1,E
GF2,18/06/2018,15:00,F4,F2,F
GG1,18/06/2018,18:00,G2,G1,G
GG2,18/06/2018,21:00,G4,G3,G
GH1,19/06/2018,15:00,H4,H3,H
GH2,19/06/2018,18:00,H2,H1,H
GA3,19/06/2018,21:00,A3,A1,A
GB3,20/06/2018,15:00,B3,B1,B
GA4,20/06/2018,18:00,A2,A4,A
GB4,20/06/2018,21:00,B2,B4,B
GC3,21/06/2018,15:00,C2,C4,C
GC4,21/06/2018,18:00,C3,C1,C
GD3,21/06/2018,21:00,D3,D1,D
GE3,22/06/2018,15:00,E3,E1,E
GD4,22/06/2018,18:00,D2,D4,D
GE4,22/06/2018,21:00,E2,E4,E
GG3,23/06/2018,15:00,G3,G1,G
GF3,23/06/2018,18:00,F3,F4,F
GF4,23/06/2018,21:00,F2,F1,F
GG4,24/06/2018,15:00,G2,G4,G
GH3,24/06/2018,18:00,H2,H4,H
GH4,24/06/2018,21:00,H3,H1,H
GA5,25/06/2018,17:00,A1,A4,A
GA6,25/06/2018,17:00,A3,A2,A
GB5,25/06/2018,21:00,B1,B4,B
GB6,25/06/2018,21:00,B3,B2,B
GC5,26/06/2018,17:00,C1,C4,C
GC6,26/06/2018,17:00,C3,C2,C
GD5,26/06/2018,21:00,D1,D4,D
GD6,26/06/2018,21:00,D3,D2,D
GF5,27/06/2018,17:00,F2,F3,F
GF6,27/06/2018,17:00,F1,F4,F
GE5,27/06/2018,21:00,E1,E4,E
GE6,27/06/2018,21:00,E3,E2,E
GH5,28/06/2018,17:00,H1,H4,H
GH6,28/06/2018,17:00,H3,H2,H
GG5,28/06/2018,21:00,G3,G2,G
GG6,28/06/2018,21:00,G1,G4,G
GAF1,30/06/2018,15:00,1A,2B
GAF2,30/06/2018,19:00,1C,2D
GAF3,01/07/2018,15:00,1B,2A
GAF4,01/07/2018,19:00,1D,2C
GAF5,02/07/2018,15:00,1E,2F
GAF6,02/07/2018,19:00,1G,2H
GAF7,03/07/2018,15:00,1F,2E
GAF8,03/07/2018,19:00,1H,2G
GQF1,06/07/2018,15:00,WGAF1,WGAF2
GQF2,06/07/2018,19:00,WGAF6,WGAF5
GQF3,07/07/2018,15:00,WGAF8,WGAF7
GQF4,07/07/2018,19:00,WGAF3,WGAF4
GSF1,10/07/2018,19:00,WGQF2,WGQF1
GSF2,11/07/2018,19:00,WGQF4,WGQF3
GFN1,14/07/2018,15:00,LGSF1,LGSF2
GFN2,15/07/2018,16:00,WGSF1,WGSF2
