iteration,winner
1,RUS
2,GER
3,RUS
4,BRA
5,ARG
6,ESP
7,GER
8,GER
9,COL
10,BEL
11,SUI
12,POR
13,KSA
14,SEN
15,POL
16,POL
17,MEX
18,RUS
19,ARG
20,SUI
21,POR
22,JPN
23,DEN
24,URU
25,POR
26,RUS
27,POR
28,POR
29,CRO
30,ENG
31,ENG
32,ESP
33,SUI
34,RUS
35,COL
36,RUS
37,CRO
38,KOR
39,GER
40,BEL
41,MEX
42,RUS
43,SUI
44,ESP
45,ESP
46,RUS
47,ESP
48,EGY
49,ARG
50,GER
51,ESP
52,COL
53,ESP
54,BRA
55,ENG
56,SUI
57,FRA
58,POL
59,COL
60,KOR
61,GER
62,SRB
63,CRO
64,ARG
65,SUI
66,ESP
67,BRA
68,POR
69,PAN
70,BRA
71,ARG
72,ARG
73,DEN
74,RUS
75,ESP
76,SUI
77,KOR
78,SWE
79,DEN
80,ESP
81,ARG
82,IRN
83,ESP
84,GER
85,BRA
86,IRN
87,ARG
88,POR
89,DEN
90,BRA
91,ESP
92,ESP
93,CRO
94,ENG
95,BEL
96,ARG
97,ESP
98,BEL
99,CRO
100,CRO
101,RUS
102,POL
103,BRA
104,ARG
105,GER
106,GER
107,ENG
108,RUS
109,ARG
110,BEL
111,BRA
112,ESP
113,ARG
114,BRA
115,ENG
116,GER
117,BRA
118,GER
119,ESP
120,SUI
121,GER
122,BRA
123,BRA
124,BRA
125,SRB
126,GER
127,POR
128,ESP
129,GER
130,ENG
131,URU
132,GER
133,FRA
134,CRO
135,POR
136,POL
137,GER
138,MEX
139,ARG
140,BRA
141,JPN
142,NGA
143,RUS
144,ESP
145,ENG
146,RUS
147,ENG
148,ENG
149,ESP
150,GER
151,POR
152,POR
153,FRA
154,BEL
155,ARG
156,FRA
157,SUI
158,ESP
159,GER
160,RUS
161,GER
162,DEN
163,FRA
164,GER
165,COL
166,COL
167,POR
168,NGA
169,SUI
170,RUS
171,ENG
172,SUI
173,BRA
174,GER
175,GER
176,ESP
177,BEL
178,COL
179,IRN
180,RUS
181,ESP
182,FRA
183,ESP
184,SUI
185,COL
186,RUS
187,BRA
188,ARG
189,BEL
190,AUS
191,BRA
192,FRA
193,POR
194,CRO
195,GER
196,IRN
197,GER
198,ENG
199,BEL
200,GER
201,ESP
202,ARG
203,SUI
204,BEL
205,ESP
206,RUS
207,SUI
208,SUI
209,ARG
210,BEL
211,RUS
212,ARG
213,ESP
214,GER
215,MEX
216,BRA
217,RUS
218,POL
219,RUS
220,POR
221,ENG
222,GER
223,KSA
224,FRA
225,BRA
226,BRA
227,POL
228,BRA
229,BRA
230,GER
231,SUI
232,SUI
233,BRA
234,RUS
235,CRO
236,ARG
237,ESP
238,CRO
239,RUS
240,SUI
241,POR
242,KOR
243,SUI
244,ENG
245,DEN
246,RUS
247,ENG
248,ENG
249,CRO
250,JPN
251,POR
252,BRA
253,NGA
254,ARG
255,MEX
256,BEL
257,GER
258,RUS
259,FRA
260,ARG
261,FRA
262,CRO
263,BEL
264,BEL
265,ARG
266,POR
267,BRA
268,ENG
269,CRO
270,ARG
271,POR
272,BRA
273,POR
274,SRB
275,CRO
276,MEX
277,ARG
278,COL
279,CRO
280,URU
281,KOR
282,BRA
283,BEL
284,SUI
285,ESP
286,SUI
287,ARG
288,KSA
289,BRA
290,ENG
291,ARG
292,BRA
293,FRA
294,SUI
295,SEN
296,GER
297,TUN
298,BRA
299,SUI
300,BRA
301,SUI
302,GER
303,ESP
304,BRA
305,RUS
306,ENG
307,BRA
308,ARG
309,BRA
310,ESP
311,BRA
312,FRA
313,TUN
314,BRA
315,ENG
316,GER
317,FRA
318,MEX
319,GER
320,CRO
321,RUS
322,DEN
323,GER
324,BEL
325,ARG
326,GER
327,POR
328,PAN
329,BRA
330,FRA
331,BRA
